"","epoch2"
"1","Fn1"
"2","Ncl"
"3","Dbi"
"4","Cxcr4"
"5","Mapkapk2"
"6","Ier5"
"7","Cacybp"
"8","Mixl1"
"9","Enah"
"10","Capn2"
"11","Nenf"
"12","Fzd7"
"13","Igfbp2"
"14","Ptma"
"15","Lefty2"
"16","Fbxo5"
"17","Abracl"
"18","Marcks"
"19","H2afy2"
"20","Ddx21"
"21","Ckap4"
"22","Atxn7l3b"
"23","Hmga2"
"24","Pa2g4"
"25","Cited2"
"26","Samd3"
"27","Cd24a"
"28","Ppa1"
"29","Cstb"
"30","Bsg"
"31","Atp2b1"
"32","Dusp6"
"33","Csrp2"
"34","Lrig3"
"35","Atp5b"
"36","Cd63"
"37","Npm1"
"38","Ccng1"
"39","Atox1"
"40","Kdm6b"
"41","Eif5a"
"42","Pfn1"
"43","Lhx1"
"44","Limd2"
"45","Jpt1"
"46","Tk1"
"47","Ccdc88a"
"48","Rnf130"
"49","Col23a1"
"50","Nhp2"
"51","9530068E07Rik"
"52","Pmp22"
"53","Myh10"
"54","Trp53"
"55","Gabarap"
"56","Rab34"
"57","Lhx1os"
"58","Vezf1"
"59","Igfbp4"
"60","Fzd2"
"61","Wnt3"
"62","Slc9a3r1"
"63","Mycn"
"64","Greb1"
"65","Sox11"
"66","Cfl2"
"67","Baz1a"
"68","Nin"
"69","Zfp36l1"
"70","Npc2"
"71","Gsc"
"72","Hsp90aa1"
"73","Akt1"
"74","Sdc1"
"75","Pdia6"
"76","Hpcal1"
"77","Klhdc2"
"78","Tmx1"
"79","Zmynd11"
"80","Sox4"
"81","Dbn1"
"82","H2afy"
"83","Gas1"
"84","Ctsl"
"85","Rhobtb3"
"86","Vcan"
"87","F2r"
"88","Ccnb1"
"89","Cks2"
"90","Dapk1"
"91","Serf1"
"92","Emb"
"93","Fgf10"
"94","Gata4"
"95","Dpysl2"
"96","Flnb"
"97","Top2b"
"98","Zmiz1"
"99","Tsc22d1"
"100","Basp1"
"101","Csnk1e"
"102","Phf5a"
"103","Cenpm"
"104","Yaf2"
"105","Slc38a4"
"106","Oxct1"
"107","Laptm4b"
"108","H1f0"
"109","Tuba1c"
"110","Ranbp1"
"111","Igf2bp2"
"112","Fam162a"
"113","Ccdc50"
"114","Hes1"
"115","Cd47"
"116","Ttc3"
"117","Qk"
"118","Acat2"
"119","Tubb5"
"120","Ptk7"
"121","Foxp4"
"122","Rftn1"
"123","Plin3"
"124","Tgif1"
"125","Clic1"
"126","Ddah2"
"127","Ddx39b"
"128","Msh6"
"129","Cdh2"
"130","Taf7"
"131","Ppic"
"132","Bambi"
"133","Gata6"
"134","Kif20a"
"135","Tubb6"
"136","Tcf4"
"137","Cyb5a"
"138","Incenp"
"139","Dkk1"
"140","Scd1"
"141","Fgf8"
"142","Fth1"
"143","Fads1"
"144","Cyp26a1"
"145","Hells"
"146","Scd2"
"147","Nolc1"
"148","Tubb4b"
"149","Pbx3"
"150","Rbms1"
"151","Frzb"
"152","Mdk"
"153","Fjx1"
"154","Rcn1"
"155","Sall4"
"156","Aurka"
"157","Bmp7"
"158","Vim"
"159","Commd3"
"160","Set"
"161","Rpl12"
"162","Rif1"
"163","Sp5"
"164","Hat1"
"165","Spred1"
"166","B2m"
"167","Dut"
"168","Eid1"
"169","Id1"
"170","Top1"
"171","Snai1"
"172","Gnas"
"173","Ccna2"
"174","Fdps"
"175","Efna3"
"176","Car14"
"177","Ptbp2"
"178","Lmo4"
"179","Adgrl2"
"180","Fabp5"
"181","Car2"
"182","Mex3a"
"183","S100a11"
"184","S100a10"
"185","Slc16a1"
"186","Psrc1"
"187","1810037I17Rik"
"188","Pitx2"
"189","Lef1"
"190","Ppp3ca"
"191","Igfbpl1"
"192","Nasp"
"193","Cdc20"
"194","Grrp1"
"195","Agtrap"
"196","Chd7"
"197","Rragd"
"198","Smc2"
"199","Ssbp3"
"200","Txndc12"
"201","Prdx1"
"202","Slc2a1"
"203","Phc2"
"204","Marcksl1"
"205","Rsrp1"
"206","Rcc2"
"207","Eno1"
"208","Cyp51"
"209","Dbf4"
"210","Msx1"
"211","Grsf1"
"212","G3bp2"
"213","Hnrnpdl"
"214","Dynll1"
"215","Aldh2"
"216","Hmgb1"
"217","Cdk6"
"218","Dpysl5"
"219","Lyar"
"220","Pcdh7"
"221","Pdgfra"
"222","Rest"
"223","Mtf2"
"224","Asns"
"225","Igf2bp3"
"226","Evx1os"
"227","Tmsb10"
"228","Hk2"
"229","Wbp1"
"230","H1fx"
"231","Tpi1"
"232","Ptms"
"233","Ccnd2"
"234","Ldhb"
"235","Bcat1"
"236","Asb4"
"237","Cald1"
"238","Gng12"
"239","Slc6a6"
"240","2810474O19Rik"
"241","Peg3"
"242","Dll3"
"243","Ccne1"
"244","Mesp1"
"245","Idh2"
"246","Iqgap1"
"247","Mogat2"
"248","Serpinh1"
"249","Lmo1"
"250","Arl6ip1"
"251","Aldoa"
"252","Oat"
"253","Kcnq1ot1"
"254","Cdkn1c"
"255","Phlda2"
"256","Ccnd1"
"257","Zfp428"
"258","Tead2"
"259","Ldha"
"260","Ndn"
"261","Mex3b"
"262","Ndufc2"
"263","Ucp2"
"264","Mettl9"
"265","Ypel3"
