"","mean_expression.gene","mean_expression.epoch","mean_expression.mean_expression"
"Prdm14","Prdm14","epoch1",0.126226120340037
"Eya1","Eya1","epoch1",-0.0712894248175742
"Ptp4a1","Ptp4a1","epoch1",-0.165885601400724
"Sema4c","Sema4c","epoch1",-0.280279063633856
"Slc40a1","Slc40a1","epoch1",0.219335673197272
"1700019D03Rik","1700019D03Rik","epoch1",0.432306561240841
"Pgap1","Pgap1","epoch1",0.148312773347506
"Fzd5","Fzd5","epoch1",-0.0380271984084609
"Fn1","Fn1","epoch1",0.0642718677742875
"Mreg","Mreg","epoch1",0.504888893762216
"Igfbp5","Igfbp5","epoch1",-0.498142686833245
"Tuba4a","Tuba4a","epoch1",0.718504627261235
"Epha4","Epha4","epoch1",-0.288965812822813
"Pax3","Pax3","epoch1",-0.303557420291271
"Ncl","Ncl","epoch1",0.50048409097674
"Gbx2","Gbx2","epoch1",-0.183802155568028
"Hes6","Hes6","epoch1",-0.0566288703824464
"Tmem37","Tmem37","epoch1",-0.116889435022616
"Dbi","Dbi","epoch1",-0.190355581987819
"Cxcr4","Cxcr4","epoch1",-0.327501139967575
"Cd55","Cd55","epoch1",-0.0620503221369032
"Mapkapk2","Mapkapk2","epoch1",-0.543270243269741
"Elf3","Elf3","epoch1",0.33818804128521
"Nr5a2","Nr5a2","epoch1",0.412818063031598
"Trove2","Trove2","epoch1",-0.221338822342678
"Hmcn1","Hmcn1","epoch1",-0.232927459977605
"Ier5","Ier5","epoch1",-0.423515416485574
"Cacybp","Cacybp","epoch1",0.44996221680466
"Prrx1","Prrx1","epoch1",-0.0999998055436284
"Atp1b1","Atp1b1","epoch1",0.338497318718039
"Dusp27","Dusp27","epoch1",0.569348196541597
"Vangl2","Vangl2","epoch1",-0.282262613580841
"Pea15a","Pea15a","epoch1",-0.457979590030444
"Atp1a2","Atp1a2","epoch1",-0.247333048337002
"Mixl1","Mixl1","epoch1",0.0725846487631653
"Enah","Enah","epoch1",0.349436478544237
"Capn2","Capn2","epoch1",-0.39022245502506
"Tgfb2","Tgfb2","epoch1",-0.38256845294219
"Nenf","Nenf","epoch1",-0.272706062675969
"Terf1","Terf1","epoch1",0.71122758202302
"Rdh10","Rdh10","epoch1",-0.258021405808212
"Dst","Dst","epoch1",0.178455075076521
"Cfc1","Cfc1","epoch1",-0.131897219395274
"Inpp4a","Inpp4a","epoch1",-0.0823593860501565
"Pou3f3","Pou3f3","epoch1",-0.203043345910341
"Col3a1","Col3a1","epoch1",-0.0763681562343225
"Sgo2a","Sgo2a","epoch1",0.341079618076222
"Fzd7","Fzd7","epoch1",-0.0398103415512191
"Bmpr2","Bmpr2","epoch1",-0.248932874369137
"Nrp2","Nrp2","epoch1",-0.179421057707162
"Adam23","Adam23","epoch1",0.420522201371374
"Igfbp2","Igfbp2","epoch1",-0.0797471532871152
"Wnt6","Wnt6","epoch1",-0.0801914770742358
"B3gnt7","B3gnt7","epoch1",0.376225336743188
"Ptma","Ptma","epoch1",0.281433239778939
"Inpp5d","Inpp5d","epoch1",0.34685506841858
"Ackr3","Ackr3","epoch1",-0.163664363740664
"Tfcp2l1","Tfcp2l1","epoch1",0.492002271834364
"Ube2t","Ube2t","epoch1",0.296770647536907
"Phlda3","Phlda3","epoch1",0.209283186109183
"Gpa33","Gpa33","epoch1",0.610731659277442
"Ildr2","Ildr2","epoch1",-0.232517361035807
"Kif26b","Kif26b","epoch1",-0.205064054900014
"Lefty2","Lefty2","epoch1",0.110205108715874
"Lefty1","Lefty1","epoch1",-0.0825106999427636
"Plxna2","Plxna2","epoch1",-0.333786628648714
"Fbxo5","Fbxo5","epoch1",0.256467162350164
"Abracl","Abracl","epoch1",-0.557751320055473
"Arfgef3","Arfgef3","epoch1",-0.0150699387800875
"Myb","Myb","epoch1",0.322680225529647
"Enpp3","Enpp3","epoch1",0.490939222718234
"Arg1","Arg1","epoch1",-0.140315514076785
"Rspo3","Rspo3","epoch1",-0.27577975467982
"Tpd52l1","Tpd52l1","epoch1",0.167532129512821
"Gm26564","Gm26564","epoch1",0.408049172102497
"Marcks","Marcks","epoch1",-0.699924650058673
"Prdm1","Prdm1","epoch1",0.19140772007141
"Ddit4","Ddit4","epoch1",-0.0869488613839559
"H2afy2","H2afy2","epoch1",-0.736677695540853
"Ddx21","Ddx21","epoch1",0.414161084778474
"Tet1","Tet1","epoch1",0.504559393220482
